inv_comp,inv_store,sku,ORD,quantity-purchased,Bin Location,product-id,ship-service-level,DESCRIPTION,order-id,purchase-date,link
20,0,OT_PNY NEW YAKI 10_33,1,1,,827298848271,Standard,HWYP10P,112-5167335-6129804,2023-10-26T13:27:51+00:00,https://sellercentral.amazon.com/orders-v3/order/112-5167335-6129804
33,0,BY_DOLLY_2,1,1,F,885160145361,Standard,DOLLY,112-2742718-9794640,2023-10-26T14:01:19+00:00,https://sellercentral.amazon.com/orders-v3/order/112-2742718-9794640
11,0,VF_BRIE-V_99J,1,1,,781811677901,Standard,45614,113-1026065-5764262,2023-10-26T16:41:53+00:00,https://sellercentral.amazon.com/orders-v3/order/113-1026065-5764262
20,0,OT_SPIRALLY_4,1,1,,827298798330,Standard,HWPBSP5,114-2806074-1737845,2023-10-26T19:03:03+00:00,https://sellercentral.amazon.com/orders-v3/order/114-2806074-1737845
20,0,AL_NAOMI_T14/88,1,1,nan,660014707496,Standard,10397 T14/88,112-3416943-6443464,2023-10-26T21:28:54+00:00,https://sellercentral.amazon.com/orders-v3/order/112-3416943-6443464
146,0,BY_KOBY_T27B,2,2,D06,842045070392,Standard,KOBY,113-0387716-5419456,2023-10-26T21:32:51+00:00,https://sellercentral.amazon.com/orders-v3/order/113-0387716-5419456
20,0,AL_SASHA_1B,1,1,nan,660014656619,Standard,10521 1B,113-8399520-9128250,2023-10-27T04:25:55+00:00,https://sellercentral.amazon.com/orders-v3/order/113-8399520-9128250
20,0,HZ_IDPWKS24_2,1,1,,803868481017,Standard,IDPWKS24,111-7272285-4097820,2023-10-27T04:40:50+00:00,https://sellercentral.amazon.com/orders-v3/order/111-7272285-4097820
20,0,OT_ROLL UP 44PCS_4,1,1,,827298755371,Standard,HWVBRU234,113-3948883-6275463,2023-10-27T07:42:54+00:00,https://sellercentral.amazon.com/orders-v3/order/113-3948883-6275463
0,0,OT_ROLL UP 44PCS_33,1,1,,827298755401,Standard,HWVBRU234,113-3948883-6275463,2023-10-27T07:42:54+00:00,https://sellercentral.amazon.com/orders-v3/order/113-3948883-6275463
20,0,OT_ROLL UP 44PCS_280,1,1,,827298755463,Standard,HWVBRU234,113-3948883-6275463,2023-10-27T07:42:54+00:00,https://sellercentral.amazon.com/orders-v3/order/113-3948883-6275463
