inv_comp,inv_store,sku,ORD,quantity-purchased,Bin Location,product-id,ship-service-level,DESCRIPTION,order-id,purchase-date,link
0,0,OT_NATURAL CRYSTAL DEEP 10-12-14_NBRN,1,1,nan,827298880776,Standard,HWMPPCD101214,111-1547683-2173860,2023-10-22T23:19:40+00:00,https://sellercentral.amazon.com/orders-v3/order/111-1547683-2173860
20,0,HZ_NAYA_1,1,1,nan,803868359576,Standard,IHBNAY,113-2172229-0756243,2023-10-23T13:20:34+00:00,https://sellercentral.amazon.com/orders-v3/order/113-2172229-0756243
20,0,HZ_NAYA_F1B/30,1,1,nan,803868359613,Standard,IHBNAY,113-2172229-0756243,2023-10-23T13:20:34+00:00,https://sellercentral.amazon.com/orders-v3/order/113-2172229-0756243
20,0,NBF_PLF04_FS4/30,1,1,nan,645719321741,Standard,PLF04-FS4/30,112-1967436-0996218,2023-10-23T13:44:24+00:00,https://sellercentral.amazon.com/orders-v3/order/112-1967436-0996218
20,0,HZ_HWUEBW18_DARKRED,1,1,nan,803868523960,Standard,HWUEBW18,111-5927847-2742614,2023-10-23T16:21:37+00:00,https://sellercentral.amazon.com/orders-v3/order/111-5927847-2742614
20,0,OT_NENE 18_1B,1,1,F,827298883487,Standard,PQPNEN18,112-2293125-2075449,2023-10-23T16:30:19+00:00,https://sellercentral.amazon.com/orders-v3/order/112-2293125-2075449
20,0,OT_SPIRALLY_1,1,1,nan,827298798309,Standard,HWPBSP5,114-7645845-4695452,2023-10-23T16:38:05+00:00,https://sellercentral.amazon.com/orders-v3/order/114-7645845-4695452
48,1,BY_LAS NOBENY_SP430,2,2,F06,885160058906,Standard,LAS NOBENY,114-3041809-9237065,2023-10-23T22:07:33+00:00,https://sellercentral.amazon.com/orders-v3/order/114-3041809-9237065
296,0,VF_STRCHB-3pcs-330_TP30/1B,4,4,,781811218128,Standard,52578,113-3208004-7131456,2023-10-24T00:04:29+00:00,https://sellercentral.amazon.com/orders-v3/order/113-3208004-7131456
25,0,BY_KESS_3T44,1,1,nan,885160154110,Standard,KESS,112-9286377-6236256,2023-10-24T02:05:27+00:00,https://sellercentral.amazon.com/orders-v3/order/112-9286377-6236256
20,0,HZ_NAYA_F1B/30,1,1,nan,803868359613,Standard,IHBNAY,112-3496928-0769033,2023-10-24T05:25:06+00:00,https://sellercentral.amazon.com/orders-v3/order/112-3496928-0769033
20,0,HZ_IWD003_1B,1,1,nan,803868496677,Standard,IWD003,114-9159337-8825056,2023-10-24T10:02:28+00:00,https://sellercentral.amazon.com/orders-v3/order/114-9159337-8825056
20,0,OT_MALAYSIAN CURL 12_DRGIBRN,1,1,,827298913498,Standard,HWPL3MC12,113-0941655-7079409,2023-10-24T15:48:04+00:00,https://sellercentral.amazon.com/orders-v3/order/113-0941655-7079409
20,0,OT_NEESHA H302_1B,1,1,,827298874812,Standard,QSNH302,114-0058854-8105049,2023-10-24T16:55:09+00:00,https://sellercentral.amazon.com/orders-v3/order/114-0058854-8105049
34,0,VF_FINN_TT1B/2216,1,1,,781811131397,Standard,47385,113-9832641-5866632,2023-10-24T17:26:52+00:00,https://sellercentral.amazon.com/orders-v3/order/113-9832641-5866632
20,0,OT_NENE 18_1B,2,2,F,827298883487,Standard,PQPNEN18,113-1653483-8889820,2023-10-24T18:26:55+00:00,https://sellercentral.amazon.com/orders-v3/order/113-1653483-8889820
20,0,OT_SOFT REGGAE BRAID_2,4,4,,827298831068,Standard,KXSRB,111-0599276-2619465,2023-10-24T20:10:49+00:00,https://sellercentral.amazon.com/orders-v3/order/111-0599276-2619465
92,4,BY_MATTY_SP430,2,2,F0405,842045095425,Standard,MATTY,111-7894877-7311433,2023-10-25T01:40:02+00:00,https://sellercentral.amazon.com/orders-v3/order/111-7894877-7311433
59,0,BY_SLB THREE_4,1,1,B03,885160223212,Standard,SLB THREE,111-2578363-9585819,2023-10-25T01:45:38+00:00,https://sellercentral.amazon.com/orders-v3/order/111-2578363-9585819
200,14,"AL_TIGHT TWIST 12""_34",1,1,I1,660014717990,Standard,14633 34,111-0519796-5944230,2023-10-25T02:22:49+00:00,https://sellercentral.amazon.com/orders-v3/order/111-0519796-5944230
0,2,AL_JERRY CURL 12_51,2,2,nan,660014696967,Standard,16030 51SAL,113-1990969-9257068,2023-10-25T02:49:23+00:00,https://sellercentral.amazon.com/orders-v3/order/113-1990969-9257068
20,2,OT_INGRID_1,1,1,nan,827298830047,Standard,QPNBXPIN,113-8680765-6744227,2023-10-25T04:18:07+00:00,https://sellercentral.amazon.com/orders-v3/order/113-8680765-6744227
20,0,OT_GENEVIVE_ROMIRCOF,1,1,,827298939221,Standard,QLSLGEN,112-2845324-5412202,2023-10-25T05:18:20+00:00,https://sellercentral.amazon.com/orders-v3/order/112-2845324-5412202
21,0,VF_DIVA_FS1B/33,1,1,E DESK,781811091370,Standard,46606,113-6833898-7242616,2023-10-25T05:41:11+00:00,https://sellercentral.amazon.com/orders-v3/order/113-6833898-7242616
